id,family,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,llm_available
f1,factual,0.0,0.0,0.3333333333333333,0.0,0.2333333333333333,0.12200599303469062,0,33,0,1
f2,factual,0.0,0.0,0.3333333333333333,0.0,0.2333333333333333,0.002468004822731018,0,35,0,1
f3,factual,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,0.0010730000212788582,0,32,0,1
f4,factual,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,0.006237009074538946,0,34,0,1
c1,cross_modal,0.0,0.0,1.0,0.0,0.7,0.0017750426195561886,0,35,0,1
c2,cross_modal,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,0.0013390090316534042,0,34,0,1
c3,cross_modal,0.0,0.0,1.0,0.0,0.7,0.00123301288112998,0,34,0,1
c4,cross_modal,0.0,0.0,1.0,0.0,0.7,0.03222603118047118,0,34,0,1
m1,multi_hop,0.0,0.0,1.0,0.0,0.7,0.0009689829312264919,0,36,0,1
m2,multi_hop,0.0,0.0,1.0,0.0,0.7,0.0009229988791048527,0,35,0,1
m3,multi_hop,0.0,0.0,1.0,0.0,0.7,0.0008940114639699459,0,37,0,1
m4,multi_hop,0.0,0.0,1.0,0.0,0.7,0.0008619972504675388,0,35,0,1
p1,follow_up,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,0.0008490169420838356,0,40,0,1
p2,follow_up,0.0,0.0,0.3333333333333333,0.0,0.2333333333333333,0.00076700234785676,0,39,0,1
p3,follow_up,0.0,0.0,1.0,0.0,0.7,0.0007490161806344986,0,35,0,1
p4,follow_up,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,0.0008369679562747478,0,35,0,1
