id,family,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,llm_available
f1,factual,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,12.306677002925426,2,232,0,1
f2,factual,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,10.07614698028192,2,218,0,1
f3,factual,0.0,0.0,1.0,1.0,1.0,9.588107001036406,2,209,0,1
f4,factual,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,7.955246022902429,2,211,0,1
c1,cross_modal,0.0,0.0,1.0,1.0,1.0,7.457742001861334,2,218,0,1
c2,cross_modal,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,8.291253994684666,2,203,0,1
c3,cross_modal,0.0,0.0,0.5,1.0,0.6499999999999999,9.144672949332744,2,224,0,1
c4,cross_modal,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,10.795862006489187,2,245,0,1
m1,multi_hop,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,12.849429971538484,2,218,0,1
m2,multi_hop,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,8.871757017914206,2,219,0,1
m3,multi_hop,0.0,0.0,1.0,1.0,1.0,8.636517042759806,2,211,0,1
m4,multi_hop,0.0,0.0,1.0,1.0,1.0,10.952077980618924,2,233,0,1
p1,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,8.527937985491008,2,223,0,1
p2,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,10.576987988315523,2,232,0,1
p3,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,8.80002899793908,2,211,0,1
p4,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,9.931212989613414,2,192,0,1
