id,family,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,llm_available
f1,factual,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,9.500321000814438,2,238,0,1
f2,factual,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,9.056274022441357,2,224,0,1
f3,factual,0.0,0.0,1.0,1.0,1.0,8.32861103117466,2,215,0,1
f4,factual,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,9.656506997998804,2,217,0,1
c1,cross_modal,1.0,0.5,1.0,1.0,1.0,11.11426402349025,2,151,0,1
c2,cross_modal,1.0,1.0,1.0,1.0,1.0,11.473126010969281,2,143,0,1
c3,cross_modal,1.0,0.2,0.5,1.0,0.6499999999999999,11.758068052586168,2,143,0,1
c4,cross_modal,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,8.995972981210798,2,251,0,1
m1,multi_hop,0.0,0.0,0.0,1.0,0.3,25.515809014905244,3,140,0,1
m2,multi_hop,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,24.492851982358843,3,165,0,1
m3,multi_hop,0.0,0.0,1.0,1.0,1.0,7.654135988559574,2,217,0,1
m4,multi_hop,0.0,0.0,1.0,1.0,1.0,8.112052048090845,2,239,0,1
p1,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,7.2677499847486615,2,229,0,1
p2,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,8.487682964187115,2,238,0,1
p3,follow_up,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,27.119798003695905,3,143,0,1
p4,follow_up,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,7.5387239921838045,2,198,0,1
