id,family,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,llm_available
f1,factual,0.0,0.0,0.0,1.0,0.3,14.856469992082566,2,137,0,1
f2,factual,0.0,0.0,0.0,1.0,0.3,11.106725025456399,2,131,0,1
f3,factual,0.0,0.0,0.0,1.0,0.3,11.936441995203495,2,133,0,1
f4,factual,0.0,0.0,0.0,1.0,0.3,11.588402965571731,2,137,0,1
c1,cross_modal,1.0,0.5,1.0,1.0,1.0,11.221034976188093,2,145,0,1
c2,cross_modal,1.0,1.0,1.0,1.0,1.0,12.022409995552152,2,137,0,1
c3,cross_modal,1.0,0.2,0.5,1.0,0.6499999999999999,11.126901023089886,2,137,0,1
c4,cross_modal,1.0,1.0,1.0,1.0,1.0,12.194517999887466,2,94,0,1
m1,multi_hop,0.0,0.0,0.0,1.0,0.3,11.446747987065464,2,137,0,1
m2,multi_hop,0.0,0.0,0.0,1.0,0.3,11.726027994882315,2,138,0,1
m3,multi_hop,0.0,0.0,0.0,1.0,0.3,13.019965030252934,2,138,0,1
m4,multi_hop,0.0,0.0,0.0,1.0,0.3,12.57929898565635,2,131,0,1
p1,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,11.594777985010296,2,137,0,1
p2,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,10.659352003131062,2,131,0,1
p3,follow_up,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,12.533743982203305,2,137,0,1
p4,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,12.208944011945277,2,126,0,1
