id,family,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,llm_available
f1,factual,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,26.359478011727333,2,210,0,1
f2,factual,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,24.768529983703047,2,211,0,1
f3,factual,0.0,0.0,0.0,1.0,0.3,25.16070898855105,2,139,0,1
f4,factual,0.0,0.0,0.0,1.0,0.3,22.57856697542593,2,143,0,1
c1,cross_modal,1.0,1.0,1.0,1.0,1.0,25.66083299461752,2,151,0,1
c2,cross_modal,1.0,1.0,1.0,1.0,1.0,23.2617249712348,2,144,0,1
c3,cross_modal,0.0,0.0,0.5,1.0,0.6499999999999999,23.423612990882248,2,144,0,1
c4,cross_modal,1.0,1.0,1.0,1.0,1.0,25.50357300788164,2,216,0,1
m1,multi_hop,0.0,0.0,0.0,1.0,0.3,26.16189594846219,3,140,0,1
m2,multi_hop,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,27.530602004844695,3,165,0,1
m3,multi_hop,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,22.815376985818148,2,163,0,1
m4,multi_hop,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,21.795542968902737,2,144,0,1
p1,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,22.882541990838945,2,143,0,1
p2,follow_up,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,23.17393902922049,2,133,0,1
p3,follow_up,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,24.46246799081564,3,143,0,1
p4,follow_up,0.0,0.0,0.6666666666666666,1.0,0.7666666666666666,26.004807034041733,2,133,0,1
