id,family,variant,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,retriever_backend
f01,factual,v0,0.0,0.0,0.3333333333333333,0.0,0.2333333333333333,34808.66821098607,0,110,1,plain_llm
f02,factual,v0,0.0,0.0,0.3333333333333333,0.0,0.2333333333333333,14404.728903027717,0,118,1,plain_llm
f03,factual,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,11480.926356976852,0,87,1,plain_llm
f04,factual,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,11076.323532033712,0,85,1,plain_llm
f05,factual,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,11170.696247019805,0,88,1,plain_llm
f06,factual,v0,0.0,0.0,1.0,0.0,0.7,12998.523403017316,0,106,1,plain_llm
f07,factual,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,9960.508550982922,0,78,1,plain_llm
f08,factual,v0,0.0,0.0,0.75,0.0,0.5249999999999999,10877.962653001305,0,85,1,plain_llm
f09,factual,v0,0.0,0.0,1.0,0.0,0.7,16786.195221997332,0,128,1,plain_llm
f10,factual,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,19161.84539202368,0,152,1,plain_llm
c01,cross_modal,v0,0.0,0.0,1.0,0.0,0.7,11754.513500025496,0,87,1,plain_llm
c02,cross_modal,v0,0.0,0.0,0.0,0.0,0.0,3544.7936160489917,0,19,1,plain_llm
c03,cross_modal,v0,0.0,0.0,1.0,0.0,0.7,15806.719209998846,0,123,1,plain_llm
c04,cross_modal,v0,0.0,0.0,0.0,0.0,0.0,3489.572747028433,0,19,1,plain_llm
c05,cross_modal,v0,0.0,0.0,0.0,0.0,0.0,3273.025389004033,0,15,1,plain_llm
c06,cross_modal,v0,0.0,0.0,0.0,0.0,0.0,3763.0945430137217,0,22,1,plain_llm
c07,cross_modal,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,9687.828179972712,0,71,1,plain_llm
c08,cross_modal,v0,0.0,0.0,0.0,0.0,0.0,3406.172554998193,0,18,1,plain_llm
c09,cross_modal,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,12860.27390602976,0,94,1,plain_llm
c10,cross_modal,v0,0.0,0.0,0.3333333333333333,0.0,0.2333333333333333,11485.371517017484,0,90,1,plain_llm
m01,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,20704.405590018723,0,159,1,plain_llm
m02,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,15744.92825899506,0,132,1,plain_llm
m03,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,18838.598574977368,0,155,1,plain_llm
m04,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,14165.424666018225,0,104,1,plain_llm
m05,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,17839.591671014205,0,139,1,plain_llm
m06,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,19440.75830996735,0,139,1,plain_llm
m07,multi_hop,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,13938.520641997457,0,110,1,plain_llm
m08,multi_hop,v0,0.0,0.0,0.75,0.0,0.5249999999999999,18457.424134016037,0,140,1,plain_llm
m09,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,19080.83454699954,0,139,1,plain_llm
m10,multi_hop,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,13510.962837026455,0,110,1,plain_llm
p01,follow_up,v0,0.0,0.0,0.75,0.0,0.5249999999999999,12340.827731008176,0,94,1,plain_llm
p02,follow_up,v0,0.0,0.0,0.0,0.0,0.0,4420.908657950349,0,26,1,plain_llm
p03,follow_up,v0,0.0,0.0,1.0,0.0,0.7,17489.943688968197,0,121,1,plain_llm
p04,follow_up,v0,0.0,0.0,0.3333333333333333,0.0,0.2333333333333333,12441.175132000353,0,89,1,plain_llm
p05,follow_up,v0,0.0,0.0,1.0,0.0,0.7,17625.76182698831,0,133,1,plain_llm
p06,follow_up,v0,0.0,0.0,1.0,0.0,0.7,20205.50695399288,0,136,1,plain_llm
p07,follow_up,v0,0.0,0.0,1.0,0.0,0.7,16129.220252041705,0,134,1,plain_llm
p08,follow_up,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,18677.525508974213,0,152,1,plain_llm
p09,follow_up,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,13070.739948016126,0,101,1,plain_llm
p10,follow_up,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,10582.10570801748,0,79,1,plain_llm
