id,family,variant,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,retriever_backend
f01,factual,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,24228.119229000014,0,103,1,plain_llm
f02,factual,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,10865.580593000004,0,87,1,plain_llm
f03,factual,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,13153.047876000017,0,101,1,plain_llm
f04,factual,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,10901.679630999979,0,81,1,plain_llm
f05,factual,v0,0.0,0.0,1.0,0.0,0.7,14378.010301000017,0,106,1,plain_llm
f06,factual,v0,0.0,0.0,0.3333333333333333,0.0,0.2333333333333333,12398.746356999993,0,96,1,plain_llm
f07,factual,v0,0.0,0.0,1.0,0.0,0.7,13980.373016999976,0,105,1,plain_llm
f08,factual,v0,0.0,0.0,1.0,0.0,0.7,9337.961288999963,0,72,1,plain_llm
f09,factual,v0,0.0,0.0,1.0,0.0,0.7,14361.554779000016,0,94,1,plain_llm
f10,factual,v0,0.0,0.0,1.0,0.0,0.7,13149.72320200002,0,89,1,plain_llm
c01,cross_modal,v0,0.0,0.0,1.0,0.0,0.7,14633.338591999973,0,95,1,plain_llm
c02,cross_modal,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,15885.479468999962,0,109,1,plain_llm
c03,cross_modal,v0,0.0,0.0,1.0,0.0,0.7,13756.80881400001,0,104,1,plain_llm
c04,cross_modal,v0,0.0,0.0,0.0,0.0,0.0,3667.442603999973,0,20,1,plain_llm
c05,cross_modal,v0,0.0,0.0,1.0,0.0,0.7,13517.91947199996,0,98,1,plain_llm
c06,cross_modal,v0,0.0,0.0,0.0,0.0,0.0,3581.609083999979,0,18,1,plain_llm
c07,cross_modal,v0,0.0,0.0,1.0,0.0,0.7,11081.286306000038,0,74,1,plain_llm
c08,cross_modal,v0,0.0,0.0,0.0,0.0,0.0,3808.481508,0,18,1,plain_llm
c09,cross_modal,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,13221.068282999966,0,85,1,plain_llm
c10,cross_modal,v0,0.0,0.0,1.0,0.0,0.7,16869.63539499999,0,128,1,plain_llm
m01,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,17492.69585000002,0,134,1,plain_llm
m02,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,14741.839575000029,0,118,1,plain_llm
m03,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,14569.238284999983,0,117,1,plain_llm
m04,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,11108.552280000025,0,89,1,plain_llm
m05,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,17190.517227999975,0,130,1,plain_llm
m06,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,15438.698713000009,0,136,1,plain_llm
m07,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,13416.604846000042,0,113,1,plain_llm
m08,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,16929.585146000023,0,145,1,plain_llm
m09,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,17184.537443000067,0,141,1,plain_llm
m10,multi_hop,v0,0.0,0.0,1.0,0.0,0.7,11782.641594999972,0,99,1,plain_llm
p01,follow_up,v0,0.0,0.0,1.0,0.0,0.7,12899.859874999947,0,94,1,plain_llm
p02,follow_up,v0,0.0,0.0,0.0,0.0,0.0,10940.511912000034,0,75,1,plain_llm
p03,follow_up,v0,0.0,0.0,1.0,0.0,0.7,18850.929484000062,0,129,1,plain_llm
p04,follow_up,v0,0.0,0.0,0.0,0.0,0.0,11358.036540999932,0,73,1,plain_llm
p05,follow_up,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,19549.85737100003,0,147,1,plain_llm
p06,follow_up,v0,0.0,0.0,1.0,0.0,0.7,13076.822796999977,0,111,1,plain_llm
p07,follow_up,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,12188.410034999946,0,89,1,plain_llm
p08,follow_up,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,18869.43605199997,0,141,1,plain_llm
p09,follow_up,v0,0.0,0.0,0.6666666666666666,0.0,0.4666666666666666,10973.506464000024,0,74,1,plain_llm
p10,follow_up,v0,0.0,0.0,1.0,0.0,0.7,11010.925534999955,0,88,1,plain_llm
