id,family,variant,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,retriever_backend
f01,factual,v4,1.0,0.0,1.0,1.0,1.0,14839.48677801527,6,308,0,langgraph
f02,factual,v4,1.0,0.0,0.6666666666666666,1.0,0.7666666666666666,25.835006032139063,6,297,0,langgraph
f03,factual,v4,1.0,0.0,1.0,1.0,1.0,24.516489007510245,6,271,0,langgraph
f04,factual,v4,1.0,0.0,1.0,1.0,1.0,28.223537025041878,6,311,0,langgraph
f05,factual,v4,1.0,0.0,1.0,1.0,1.0,27.612328995019197,6,318,0,langgraph
f06,factual,v4,1.0,0.0,0.6666666666666666,1.0,0.7666666666666666,30.047021922655404,6,268,0,langgraph
f07,factual,v4,1.0,0.0,0.3333333333333333,1.0,0.5333333333333333,27.347454917617142,6,239,0,langgraph
f08,factual,v4,1.0,0.0,0.6666666666666666,1.0,0.7666666666666666,32.57181006483734,6,271,0,langgraph
f09,factual,v4,1.0,0.0,0.6666666666666666,1.0,0.7666666666666666,29.54042295459658,6,311,0,langgraph
f10,factual,v4,0.0,0.0,1.0,1.0,1.0,35.00845504458994,6,205,0,langgraph
c01,cross_modal,v4,1.0,1.0,1.0,1.0,1.0,31.535656074993312,6,232,0,langgraph
c02,cross_modal,v4,1.0,1.0,1.0,1.0,1.0,32.979028997942805,6,164,0,langgraph
c03,cross_modal,v4,0.0,0.0,0.25,1.0,0.475,32.87909098435193,6,128,0,langgraph
c04,cross_modal,v4,1.0,1.0,1.0,1.0,1.0,45.51727301441133,6,326,0,langgraph
c05,cross_modal,v4,1.0,1.0,1.0,1.0,1.0,33.21203601080924,6,270,0,langgraph
c06,cross_modal,v4,1.0,1.0,0.6666666666666666,1.0,0.7666666666666666,44.43813697434962,6,212,0,langgraph
c07,cross_modal,v4,1.0,1.0,1.0,1.0,1.0,36.738881026394665,6,244,0,langgraph
c08,cross_modal,v4,1.0,1.0,0.6666666666666666,1.0,0.7666666666666666,35.41811800096184,6,293,0,langgraph
c09,cross_modal,v4,1.0,1.0,1.0,1.0,1.0,32.585763023234904,6,139,0,langgraph
c10,cross_modal,v4,1.0,1.0,1.0,1.0,1.0,34.918125020340085,6,158,0,langgraph
m01,multi_hop,v4,1.0,0.0,0.6666666666666666,1.0,0.7666666666666666,33.14600000157952,6,272,0,langgraph
m02,multi_hop,v4,1.0,0.0,0.6666666666666666,1.0,0.7666666666666666,34.03556207194924,6,312,0,langgraph
m03,multi_hop,v4,1.0,0.0,1.0,1.0,1.0,31.938447034917772,6,327,0,langgraph
m04,multi_hop,v4,1.0,0.0,1.0,1.0,1.0,32.30004501529038,6,298,0,langgraph
m05,multi_hop,v4,1.0,0.0,0.3333333333333333,1.0,0.5333333333333333,27.241431991569698,6,208,0,langgraph
m06,multi_hop,v4,0.5,0.0,0.6666666666666666,1.0,0.7666666666666666,27.049639960750937,6,276,0,langgraph
m07,multi_hop,v4,0.0,0.0,0.0,1.0,0.3,28.938853065483272,6,102,0,langgraph
m08,multi_hop,v4,1.0,0.0,0.3333333333333333,1.0,0.5333333333333333,31.184241990558803,6,272,0,langgraph
m09,multi_hop,v4,0.5,0.0,0.3333333333333333,1.0,0.5333333333333333,27.928228955715895,6,239,0,langgraph
m10,multi_hop,v4,0.0,0.0,0.0,1.0,0.3,27.28558296803385,6,105,0,langgraph
p01,follow_up,v4,0.5,0.0,0.3333333333333333,1.0,0.5333333333333333,33.68734894320369,6,213,0,langgraph
p02,follow_up,v4,1.0,0.0,0.0,1.0,0.3,33.15605502575636,6,278,0,langgraph
p03,follow_up,v4,0.5,0.0,0.3333333333333333,1.0,0.5333333333333333,32.66566398087889,6,268,0,langgraph
p04,follow_up,v4,0.0,0.0,0.0,1.0,0.3,33.40992599260062,6,110,0,langgraph
p05,follow_up,v4,1.0,0.0,0.3333333333333333,1.0,0.5333333333333333,32.216360908932984,6,273,0,langgraph
p06,follow_up,v4,0.0,0.0,0.0,1.0,0.3,32.23663498647511,6,105,0,langgraph
p07,follow_up,v4,1.0,0.0,0.6666666666666666,1.0,0.7666666666666666,30.405646073631942,6,187,0,langgraph
p08,follow_up,v4,0.0,0.0,0.3333333333333333,1.0,0.5333333333333333,32.44083106983453,6,213,0,langgraph
p09,follow_up,v4,0.5,0.0,0.6666666666666666,1.0,0.7666666666666666,31.405830988660455,6,277,0,langgraph
p10,follow_up,v4,1.0,0.0,0.0,1.0,0.3,34.63699098210782,6,138,0,langgraph
