id,family,variant,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,retriever_backend
f01,factual,v3,1.0,1.0,0.3333333333333333,1.0,0.5333333333333333,29058.172386023216,3,88,1,image_only_clip
f02,factual,v3,1.0,1.0,0.3333333333333333,0.6666666666666666,0.4333333333333333,13050.355812010821,3,70,1,image_only_clip
f03,factual,v3,1.0,1.0,0.6666666666666666,1.0,0.7666666666666666,20193.629215995315,3,59,1,image_only_clip
f04,factual,v3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5666666666666667,11340.856964990962,3,59,1,image_only_clip
f05,factual,v3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5666666666666667,11101.27174097579,3,64,1,image_only_clip
f06,factual,v3,0.0,0.0,0.5,0.0,0.35,10769.607259018812,3,62,1,image_only_clip
f07,factual,v3,1.0,1.0,1.0,1.0,1.0,16948.651169019286,3,46,1,image_only_clip
f08,factual,v3,1.0,1.0,0.75,0.6666666666666666,0.7249999999999999,15486.37877497822,3,88,1,image_only_clip
f09,factual,v3,1.0,1.0,1.0,0.0,0.7,12829.128056007903,3,72,1,image_only_clip
f10,factual,v3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,21817.456594959367,3,101,1,image_only_clip
c01,cross_modal,v3,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,10359.0444890433,3,39,1,image_only_clip
c02,cross_modal,v3,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,15944.943125010468,3,67,1,image_only_clip
c03,cross_modal,v3,1.0,0.5,1.0,0.3333333333333333,0.7999999999999999,10580.843866977375,3,43,1,image_only_clip
c04,cross_modal,v3,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,14735.364096995909,3,61,1,image_only_clip
c05,cross_modal,v3,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,13745.434259006288,3,50,1,image_only_clip
c06,cross_modal,v3,1.0,0.5,1.0,0.6666666666666666,0.8999999999999999,15822.24207703257,3,47,1,image_only_clip
c07,cross_modal,v3,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,16767.982772027608,3,64,1,image_only_clip
c08,cross_modal,v3,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,16337.26173802279,3,65,1,image_only_clip
c09,cross_modal,v3,1.0,0.3333333333333333,1.0,0.3333333333333333,0.7999999999999999,12627.468003018294,3,55,1,image_only_clip
c10,cross_modal,v3,1.0,0.5,0.6666666666666666,0.3333333333333333,0.5666666666666667,9948.379218985792,3,38,1,image_only_clip
m01,multi_hop,v3,1.0,1.0,1.0,1.0,1.0,30137.19888799824,3,113,1,image_only_clip
m02,multi_hop,v3,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,18509.04991000425,3,105,1,image_only_clip
m03,multi_hop,v3,0.5,1.0,1.0,0.6666666666666666,0.8999999999999999,18205.701144994237,3,111,1,image_only_clip
m04,multi_hop,v3,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,18147.866198967677,3,96,1,image_only_clip
m05,multi_hop,v3,1.0,1.0,1.0,0.0,0.7,15194.98712598579,3,87,1,image_only_clip
m06,multi_hop,v3,0.5,1.0,1.0,0.6666666666666666,0.8999999999999999,25053.20332502015,3,100,1,image_only_clip
m07,multi_hop,v3,1.0,0.2,1.0,0.6666666666666666,0.8999999999999999,15439.820330007933,3,79,1,image_only_clip
m08,multi_hop,v3,1.0,1.0,0.75,0.6666666666666666,0.7249999999999999,15952.936001005583,3,86,1,image_only_clip
m09,multi_hop,v3,1.0,0.5,1.0,0.6666666666666666,0.8999999999999999,22909.031601971947,3,104,1,image_only_clip
m10,multi_hop,v3,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,17036.86428000219,3,99,1,image_only_clip
p01,follow_up,v3,1.0,0.5,0.75,0.6666666666666666,0.7249999999999999,13038.360664038919,4,44,1,image_only_clip
p02,follow_up,v3,1.0,1.0,0.0,0.6666666666666666,0.19999999999999998,22255.619601986837,4,88,1,image_only_clip
p03,follow_up,v3,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,16241.771678964142,4,61,1,image_only_clip
p04,follow_up,v3,1.0,0.5,1.0,0.3333333333333333,0.7999999999999999,13091.87337802723,4,53,1,image_only_clip
p05,follow_up,v3,1.0,0.25,1.0,0.0,0.7,19473.00489898771,4,91,1,image_only_clip
p06,follow_up,v3,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,18039.682552043814,4,70,1,image_only_clip
p07,follow_up,v3,1.0,1.0,0.6666666666666666,0.0,0.4666666666666666,9638.414293003734,4,42,1,image_only_clip
p08,follow_up,v3,1.0,0.2,0.3333333333333333,0.6666666666666666,0.4333333333333333,14789.028942992445,4,64,1,image_only_clip
p09,follow_up,v3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,17617.14883497916,4,68,1,image_only_clip
p10,follow_up,v3,1.0,1.0,0.6666666666666666,0.0,0.4666666666666666,10388.896135031246,4,54,1,image_only_clip
