id,family,variant,recall5,mrr,keyword_score,evidence_score,success,latency_ms,tool_calls,token_usage_proxy,llm_used,retriever_backend
f01,factual,v4,1.0,1.0,0.3333333333333333,0.6666666666666666,0.4333333333333333,32440.563904005103,3,111,1,hybrid_text_image_caption
f02,factual,v4,1.0,1.0,0.6666666666666666,1.0,0.7666666666666666,25146.902849024627,3,68,1,hybrid_text_image_caption
f03,factual,v4,1.0,1.0,1.0,1.0,1.0,24879.014880978502,3,67,1,hybrid_text_image_caption
f04,factual,v4,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5666666666666667,12797.946405014955,3,52,1,hybrid_text_image_caption
f05,factual,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,18857.637381006498,3,70,1,hybrid_text_image_caption
f06,factual,v4,1.0,1.0,0.5,0.6666666666666666,0.5499999999999999,23684.98796899803,3,107,1,hybrid_text_image_caption
f07,factual,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,21437.965885037556,3,49,1,hybrid_text_image_caption
f08,factual,v4,1.0,1.0,1.0,1.0,1.0,23347.711586975493,3,77,1,hybrid_text_image_caption
f09,factual,v4,1.0,1.0,1.0,1.0,1.0,24836.47773100529,3,101,1,hybrid_text_image_caption
f10,factual,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,24031.943173031323,3,89,1,hybrid_text_image_caption
c01,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,15999.37981495168,3,44,1,hybrid_text_image_caption
c02,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,14328.736320021562,3,55,1,hybrid_text_image_caption
c03,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,13942.030288977548,3,53,1,hybrid_text_image_caption
c04,cross_modal,v4,1.0,1.0,1.0,1.0,1.0,22693.595595948864,3,61,1,hybrid_text_image_caption
c05,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,15265.67419298226,3,54,1,hybrid_text_image_caption
c06,cross_modal,v4,0.0,0.0,1.0,0.3333333333333333,0.7999999999999999,16947.84374901792,3,34,1,hybrid_text_image_caption
c07,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,17639.436173951253,3,81,1,hybrid_text_image_caption
c08,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,11273.3913330012,3,44,1,hybrid_text_image_caption
c09,cross_modal,v4,1.0,1.0,1.0,0.3333333333333333,0.7999999999999999,12296.237737988122,3,50,1,hybrid_text_image_caption
c10,cross_modal,v4,1.0,1.0,0.6666666666666666,0.3333333333333333,0.5666666666666667,12133.562149014324,3,47,1,hybrid_text_image_caption
m01,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,26619.164289033506,3,96,1,hybrid_text_image_caption
m02,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,25846.224415989127,3,104,1,hybrid_text_image_caption
m03,multi_hop,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,23253.03647603141,3,119,1,hybrid_text_image_caption
m04,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,28596.016040013637,3,101,1,hybrid_text_image_caption
m05,multi_hop,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,26547.42023802828,3,104,1,hybrid_text_image_caption
m06,multi_hop,v4,0.5,1.0,1.0,1.0,1.0,29730.03813397372,3,106,1,hybrid_text_image_caption
m07,multi_hop,v4,1.0,0.5,1.0,1.0,1.0,24118.0283720023,3,64,1,hybrid_text_image_caption
m08,multi_hop,v4,1.0,1.0,0.75,1.0,0.825,23551.6535009956,3,103,1,hybrid_text_image_caption
m09,multi_hop,v4,1.0,1.0,1.0,1.0,1.0,31771.57282101689,3,108,1,hybrid_text_image_caption
m10,multi_hop,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,22297.172582999337,3,85,1,hybrid_text_image_caption
p01,follow_up,v4,0.0,0.0,1.0,0.6666666666666666,0.8999999999999999,23201.16021501599,4,71,1,hybrid_text_image_caption
p02,follow_up,v4,1.0,1.0,0.0,1.0,0.3,24743.70995198842,4,81,1,hybrid_text_image_caption
p03,follow_up,v4,0.5,0.25,1.0,0.6666666666666666,0.8999999999999999,27020.808681030758,4,94,1,hybrid_text_image_caption
p04,follow_up,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,18490.99420098355,4,50,1,hybrid_text_image_caption
p05,follow_up,v4,1.0,1.0,1.0,0.6666666666666666,0.8999999999999999,25024.567343003582,4,103,1,hybrid_text_image_caption
p06,follow_up,v4,1.0,1.0,1.0,1.0,1.0,20970.27779300697,4,52,1,hybrid_text_image_caption
p07,follow_up,v4,1.0,1.0,1.0,0.0,0.7,14157.426857040264,4,54,1,hybrid_text_image_caption
p08,follow_up,v4,1.0,1.0,0.3333333333333333,0.6666666666666666,0.4333333333333333,23032.50474802917,4,68,1,hybrid_text_image_caption
p09,follow_up,v4,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,20563.687067013234,4,80,1,hybrid_text_image_caption
p10,follow_up,v4,1.0,1.0,0.3333333333333333,0.0,0.2333333333333333,13016.570960986428,4,46,1,hybrid_text_image_caption
